date,cepea_ethanol_mt_m3,cepea_ethanol_mt_net_m3
2021-04-30,3176.32,2648.38
2021-05-07,3405.67,2849.06125
2021-05-14,3570.83,2993.5762499999996
2021-05-21,3644.94,3058.4225
2021-05-28,3620.46,3037.0025
2021-06-04,3630.86,3046.1025
2021-06-11,3617.82,3034.6925
2021-06-18,3574.19,2996.51625
2021-06-25,3483.65,2917.29375
2021-07-02,3443.57,2882.22375
2021-07-09,3505.35,2936.28125
2021-07-16,3565.3,2988.7375
2021-07-23,3573.6,2996.0
2021-07-30,3630.31,3045.6212499999997
2021-08-06,3729.19,3132.14125
2021-08-13,3851.57,3239.22375
2021-08-20,3926.24,3304.56
2021-08-27,3947.5,3323.1625
2021-09-03,3970.82,3343.5675
2021-09-10,3984.23,3355.30125
2021-09-17,4004.54,3373.0724999999998
2021-09-24,4005.95,3374.3062499999996
2021-10-01,4001.71,3370.59625
2021-10-08,4022.88,3389.12
2021-10-15,4100.31,3456.87125
2021-10-22,4226.09,3566.92875
2021-10-29,4436.82,3751.3174999999997
2021-11-05,4676.01,3960.60875
2021-11-12,4727.4,4005.5749999999994
2021-11-19,4697.67,3979.56125
2021-11-26,4455.69,3767.8287499999997
2021-12-03,4353.64,3678.5350000000003
2021-12-10,4157.82,3507.1924999999997
2021-12-17,4143.79,3494.9162499999998
2021-12-24,4135.61,3487.7587499999995
2021-12-31,4134.13,3486.46375
2022-01-07,4121.36,3475.2899999999995
2022-01-14,4117.88,3472.245
2022-01-21,4060.32,3421.88
2022-01-28,4008.02,3376.1175
2022-02-04,3856.07,3243.16125
2022-02-11,3726.28,3129.5950000000003
2022-02-18,3690.37,3098.17375
2022-02-25,3645.2,3058.6499999999996
2022-03-04,3646.83,3060.0762499999996
2022-03-11,3773.39,3170.81625
2022-03-18,4188.15,3533.7312499999994
2022-03-25,4158.65,3507.9187499999994
2022-04-01,4175.97,3523.07375
2022-04-08,4265.91,3601.77125
2022-04-15,4436.75,3751.25625
2022-04-22,4460.57,3772.0987499999997
2022-04-29,4407.2,3725.3999999999996
2022-05-06,4186.75,3532.50625
2022-05-13,4149.55,3499.95625
2022-05-20,4126.2,3479.5249999999996
2022-05-27,4034.0,3398.85
2022-06-03,3912.73,3292.73875
2022-06-10,3859.79,3246.4162499999998
2022-06-17,3790.83,3186.0762499999996
2022-06-24,3739.98,3422.0817
2022-07-01,3546.32,3244.8828000000003
2022-07-08,3448.3450000000003,3155.2356750000004
2022-07-15,3379.42,3092.1693
2022-07-22,3315.99,3034.13085
2022-07-29,3297.42,3017.1393000000003
2022-08-05,3291.43,3011.65845
2022-08-12,3201.46,2929.3359
2022-08-19,3047.58,2788.5357
2022-08-26,2867.6,2623.854
2022-09-02,2652.63,2427.1564500000004
2022-09-09,2501.01,2288.4241500000003
2022-09-16,2489.4,2277.8010000000004
2022-09-23,2574.84,2355.9786000000004
2022-09-30,2586.57,2366.7115500000004
2022-10-07,2666.72,2440.0488
2022-10-14,2785.35,2548.59525
2022-10-21,2888.75,2643.20625
2022-10-28,2878.77,2634.0745500000003
2022-11-04,2948.72,2698.0788
2022-11-11,3013.93,2757.74595
2022-11-18,3012.56,2756.4924
2022-11-25,3037.63,2779.43145
2022-12-02,3041.74,2783.1920999999998
2022-12-09,2990.62,2736.4173
2022-12-16,2920.18,2671.9647
2022-12-23,2976.9,2723.8635000000004
2022-12-30,3087.17,2824.76055
2023-01-06,3015.32,2759.0178
2023-01-13,2943.43,2693.23845
2023-01-20,2895.0,2648.925
2023-01-27,2839.89,2598.49935
2023-02-03,2856.19,2613.4138500000004
2023-02-10,2841.97,2600.40255
2023-02-17,2871.36,2627.2944
2023-02-24,2901.12,2654.5248
2023-03-03,2987.645,2602.795175
2023-03-10,3018.61,2631.12815
2023-03-17,2979.99,2595.79085
2023-03-24,2961.86,2579.2019
2023-03-31,2952.99,2571.08585
2023-04-07,3035.84,2646.8936000000003
2023-04-14,3133.94,2736.6551
2023-04-21,3262.46,2854.2509
2023-04-28,3253.87,2846.3910499999997
2023-05-05,3145.43,2747.1684499999997
2023-05-12,3008.58,2621.9507
2023-05-19,2860.47,2486.43005
2023-05-26,2787.1,2419.2965
2023-06-02,2765.41,2399.4501499999997
2023-06-09,2760.3,2394.7745
2023-06-16,2769.44,2403.1376
2023-06-23,2744.78,2380.5737000000004
2023-06-30,2799.96,2431.0634
2023-07-07,2812.3,2442.3545000000004
2023-07-14,2706.32,2345.3828000000003
2023-07-21,2636.99,2281.9458499999996
2023-07-28,2586.3,2235.5645
2023-08-04,2541.49,2194.56335
2023-08-11,2508.37,2164.25855
2023-08-18,2602.47,2250.36005
2023-08-25,2668.25,2310.54875
2023-09-01,2671.61,2313.62315
2023-09-08,2666.73,2309.15795
2023-09-15,2625.06,2271.0299
2023-09-22,2614.98,2261.8067
2023-09-29,2569.37,2220.07355
2023-10-06,2525.74,2180.1521
2023-10-13,2505.87,2161.97105
2023-10-20,2492.88,2150.0852
2023-10-27,2497.53,2154.33995
2023-11-03,2502.75,2159.11625
2023-11-10,2498.27,2155.01705
2023-11-17,2480.59,2138.8398500000003
2023-11-24,2481.84,2139.9836
2023-12-01,2453.46,2114.0159
2023-12-08,2390.3,2056.2245000000003
2023-12-15,2336.72,2007.1987999999997
2023-12-22,2307.91,1980.83765
2023-12-29,2342.15,2012.16725
2024-01-05,2328.85,1999.99775
2024-01-12,2320.15,1992.0372499999999
2024-01-19,2320.02,1991.9182999999998
2024-01-26,2397.19,2062.52885
2024-02-02,2508.45,2164.33175
2024-02-09,2561.91,2213.24765
2024-02-16,2575.83,2225.98445
2024-02-23,2585.0,2234.375
2024-03-01,2583.61,2233.10315
2024-03-08,2584.15,2233.5972500000003
2024-03-15,2570.91,2221.48265
2024-03-22,2582.31,2231.91365
2024-03-29,2619.35,2265.80525
2024-04-05,2756.32,2391.1328000000003
2024-04-12,2829.46,2458.0559
2024-04-19,2913.92,2535.3368
2024-04-26,2864.28,2489.9162
2024-05-03,2802.2,2433.113
2024-05-10,2795.92,2427.3668000000002
2024-05-17,2785.42,2417.7593
2024-05-24,2742.65,2378.62475
2024-05-31,2732.97,2369.76755
2024-06-07,2726.61,2363.94815
2024-06-14,2726.98,2364.2867
2024-06-21,2777.93,2410.90595
2024-06-28,2862.96,2488.7084
2024-07-05,2948.32,2566.8128
2024-07-12,3066.63,2675.0664500000003
2024-07-19,3092.45,2698.69175
2024-07-26,3071.07,2679.12905
2024-08-02,3031.71,2643.11465
