date,target,scenario,forecast
2026-05-01,cepea_ethanol_mt_net_m3,base,2719.3342595275444
2026-05-08,cepea_ethanol_mt_net_m3,base,2665.849855687779
2026-05-15,cepea_ethanol_mt_net_m3,base,2629.9296047710277
2026-05-22,cepea_ethanol_mt_net_m3,base,2614.088145171015
2026-05-29,cepea_ethanol_mt_net_m3,base,2599.5846094434846
2026-06-05,cepea_ethanol_mt_net_m3,base,2573.7389559766157
2026-06-12,cepea_ethanol_mt_net_m3,base,2551.145146568778
2026-06-19,cepea_ethanol_mt_net_m3,base,2527.598140208884
2026-06-26,cepea_ethanol_mt_net_m3,base,2506.557516128834
2026-07-03,cepea_ethanol_mt_net_m3,base,2478.1450455690447
2026-07-10,cepea_ethanol_mt_net_m3,base,2453.7114137878116
2026-07-17,cepea_ethanol_mt_net_m3,base,2430.3172865939496
2026-07-24,cepea_ethanol_mt_net_m3,base,2409.789253939518
2026-07-31,cepea_ethanol_mt_net_m3,base,2391.5721277770867
2026-08-07,cepea_ethanol_mt_net_m3,base,2372.0219427621137
2026-08-14,cepea_ethanol_mt_net_m3,base,2358.0908798302644
2026-08-21,cepea_ethanol_mt_net_m3,base,2347.7100280016057
2026-08-28,cepea_ethanol_mt_net_m3,base,2339.230753949166
2026-09-04,cepea_ethanol_mt_net_m3,base,2334.2908136254955
2026-09-11,cepea_ethanol_mt_net_m3,base,2330.8811344372875
2026-09-18,cepea_ethanol_mt_net_m3,base,2328.6110029359547
2026-09-25,cepea_ethanol_mt_net_m3,base,2326.5254291581427
2026-10-02,cepea_ethanol_mt_net_m3,base,2329.670971961775
2026-10-09,cepea_ethanol_mt_net_m3,base,2331.387546277742
2026-10-16,cepea_ethanol_mt_net_m3,base,2334.8002147490583
2026-10-23,cepea_ethanol_mt_net_m3,base,2339.6112732005618
2026-10-30,cepea_ethanol_mt_net_m3,base,2345.97441244094
2026-11-06,cepea_ethanol_mt_net_m3,base,2361.2862659072307
2026-11-13,cepea_ethanol_mt_net_m3,base,2373.678208420769
2026-11-20,cepea_ethanol_mt_net_m3,base,2387.0978713620048
2026-11-27,cepea_ethanol_mt_net_m3,base,2399.819668235494
2026-12-04,cepea_ethanol_mt_net_m3,base,2384.837307382447
2026-12-11,cepea_ethanol_mt_net_m3,base,2381.1617899505673
2026-12-18,cepea_ethanol_mt_net_m3,base,2377.3118028470167
2026-12-25,cepea_ethanol_mt_net_m3,base,2373.3980793734904
2027-01-01,cepea_ethanol_mt_net_m3,base,2378.5428053219853
2027-01-08,cepea_ethanol_mt_net_m3,base,2382.0271189531477
2027-01-15,cepea_ethanol_mt_net_m3,base,2385.7982954273084
2027-01-22,cepea_ethanol_mt_net_m3,base,2389.6303743011886
2027-01-29,cepea_ethanol_mt_net_m3,base,2392.185855515375
2027-02-05,cepea_ethanol_mt_net_m3,base,2397.7184557650125
2027-02-12,cepea_ethanol_mt_net_m3,base,2399.3135221499383
2027-02-19,cepea_ethanol_mt_net_m3,base,2398.8549697485278
2027-02-26,cepea_ethanol_mt_net_m3,base,2395.9954848723264
2027-03-05,cepea_ethanol_mt_net_m3,base,2391.8721279965725
2027-03-12,cepea_ethanol_mt_net_m3,base,2387.338860121856
2027-03-19,cepea_ethanol_mt_net_m3,base,2382.4089620748773
